ID,duration_sec,distance_m
0x6445,871.7,16467.7
0x33dc,1318.4,20307.3
0xacd8,1150.1,16180
0xbfb4,432,3728.5
0xd989,1006.9,13474.8
0x8b3f,573.7,9153.3
0xdeb4,829.3,9464.4
0xa243,1106.3,18914.9
0xd446,1168,18072.1
0x6436,1124.8,23293.9
0x5d2d,1769.9,28939.5
0x8b2b,1347.1,13445.6
0xc1ec,2237.9,35826.2
0xde6f,1537,26357.4
0x33a0,1035.8,19548.8
0xb712,1207.5,19334.4
0x8299,889.6,11840.4
0x9155,319.4,4300.1
0x3d8c,662.7,9436.1
0xd3fa,463.7,5774.3
0xb012,1114.8,18734.8
0xdcaa,1308.7,15650.9
0x9587,1872.9,17959.8
0x43ba,440.7,6507.2
0x70f5,448,4689.3
0x575d,366.9,4087.2
0x4f3c,955,13869
0xb209,970.9,16284.9
0x4f9a,1110.8,13076.8
0x8011,430.1,5844
0x9692,871.7,16467.7
0x9415,1672.5,23091.2
0x7bf,1026.5,15744.1
0x7cb8,389.6,4354.1
0x9c8c,195.8,2414.8
0xb38b,613,6786.6
0x4d5b,194.4,3096.3
0x8f9e,477.3,6581
0x3b2e,1097.2,12416.2
0x2cb6,1447.5,22565.1
0x9d2b,540,7948.8
